"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v","Dlambda,v"
35.1046,101.0,0.9928,-0.257,426.0,0.0483561,17.4118
20.8484,75.0,0.85196,-0.27165,272.0,0.00291206,6.82552
41.0025,65.0,1.5807,-0.5878,357.0,0.00308319,24.5246
37.6241,125.0,0.82182,-0.32195,614.0,1.0257,21.0583
26.1659,47.0,1.35455,-0.3315,325.0,0.0359595,9.06264
24.0982,53.0,1.11468,-0.4339,186.0,0.000202695,8.06727
20.6445,64.0,0.8255,-0.13115,325.0,0.0176643,6.64576
37.3803,77.0,1.33955,-0.28975,446.0,0.413872,20.3306
33.133,131.0,0.75489,-0.34575,359.0,0.030312,15.2917
31.9693,96.0,1.02776,-0.2829,336.0,0.000768921,13.9575
27.8356,107.0,0.682905,-0.25025,273.0,0.00581629,10.7512
32.5141,141.0,0.65421,-0.15475,568.0,1.19048,14.5128
19.224,71.0,0.787565,-0.19405,232.0,0.000549779,6.04909
24.5922,58.0,1.0423,-0.3064,234.0,0.0584591,8.48487
33.0574,70.0,1.29693,-0.36815,260.0,0.000412038,14.6165
35.9636,70.0,1.34096,-0.3048,379.0,0.113559,18.0305
38.0192,116.0,1.3592,-0.37395,365.0,0.0485754,22.5747
38.3434,54.0,1.7747,-0.6031,326.0,0.0224274,19.4884
11.9887,100.0,0.297605,-0.088185,325.0,0.0438018,3.33491
19.0483,77.0,0.57003,-0.15785,336.0,0.0172878,5.953
38.5492,91.0,1.23075,-0.2055,652.0,1.2024,22.6671
40.3332,146.0,1.16943,-0.28175,711.0,1.11434,29.1481
38.3946,133.0,1.26914,-0.2773,661.0,1.68745,23.0159
34.9196,189.0,0.52672,-0.27755,601.0,0.400466,17.4037
36.8448,76.0,1.42307,-0.36705,365.0,0.0615231,19.4596
22.0108,148.0,0.41393,-0.21005,340.0,0.00490691,7.39825
32.9484,75.0,1.0008,-0.2554,467.0,0.286735,14.6193
23.7484,75.0,0.753045,-0.26365,236.0,0.0031112,8.14007
31.8419,78.0,0.93356,-0.19865,513.0,0.600111,13.6026
17.3025,61.0,0.590545,-0.20725,267.0,4.32203e-05,5.10818
24.7986,52.0,1.16552,-0.2806,328.0,0.11805,8.56704
37.2453,121.0,1.5518,-0.21815,496.0,0.689102,20.9092
39.603,172.0,0.864855,-0.4031,715.0,1.91116,26.7333
34.6748,109.0,0.984005,-0.1167,621.0,0.417281,16.9925
32.292,83.0,0.980275,-0.42035,362.0,0.00689549,14.0953
28.7915,93.0,0.8811,-0.1089,488.0,0.34903,11.3969
42.85,47.0,2.3816,-0.63565,381.0,0.0503438,24.657
35.7486,94.0,1.07599,-0.39535,556.0,1.36151,17.9257
33.5032,104.0,1.00934,-0.2127,550.0,0.112802,15.6312
35.5387,136.0,0.74599,-0.18985,574.0,0.315354,18.2264
39.9784,68.0,1.32835,-0.4046,722.0,1.59396,23.6232
34.7843,126.0,0.76855,-0.2027,548.0,0.659519,17.1225
30.5088,82.0,0.873415,-0.25025,592.0,0.892884,12.4698
37.1476,120.0,0.920415,-0.12935,628.0,0.619876,20.7544
37.733,65.0,1.70895,-0.46985,544.0,0.355227,20.5976
29.2069,60.0,1.24892,-0.3946,216.0,0.00555642,11.4117
35.7912,77.0,1.44065,-0.1446,544.0,0.925123,18.1958
30.9566,76.0,1.29873,-0.3874,216.0,0.000814357,12.9628
23.5402,89.0,0.753405,-0.1013,426.0,0.0581187,8.14846
40.389,59.0,1.96695,-0.4881,331.0,0.0905977,23.3755
25.9436,90.0,0.94626,-0.22495,274.0,0.000672284,9.49773
34.7555,61.0,1.58575,-0.2737,484.0,0.120234,16.3308
32.5523,89.0,1.14563,-0.1197,496.0,0.415183,14.6157
32.6511,120.0,1.08212,-0.17565,393.0,0.0104848,14.8375
41.252,43.0,2.39055,-0.705,400.0,0.0784346,21.9413
26.7631,109.0,0.656445,-0.21945,297.0,0.00208024,10.0401
39.2155,78.0,1.3182,-0.65815,464.0,0.125347,22.8261
37.7957,119.0,1.3595,-0.1415,617.0,0.280572,22.0012
36.564,114.0,0.8041,-0.18355,437.0,0.00547409,19.6568
41.9384,55.0,2.06985,-0.1967,666.0,1.2911,28.1465
39.102,80.0,1.4011,-0.32465,670.0,0.632669,22.9802
16.4106,69.0,0.566405,-0.11585,421.0,0.201416,4.85875
24.0608,112.0,0.61695,-0.1464,365.0,0.100256,8.43571
42.0238,53.0,1.86125,-0.3147,368.0,0.700032,25.6253
19.815,134.0,0.36455,-0.1183,436.0,0.0370608,6.34876
40.1319,65.0,1.7559,-0.26865,565.0,0.86498,27.1251
20.7543,76.0,0.65797,-0.176,356.0,0.0424318,6.75437
32.8965,134.0,0.763515,-0.10225,684.0,0.393065,15.0416
36.2753,76.0,1.1389,-0.51595,326.0,0.266345,18.1676
32.9881,176.0,0.8601,-0.1506,655.0,0.285615,15.2137
40.6,49.0,2.27145,-0.20565,443.0,0.124465,22.8564
37.494,146.0,0.779035,-0.2715,686.0,1.19246,21.6054
36.4593,87.0,0.9973,-0.16985,484.0,0.127172,19.0854
30.3485,98.0,1.17031,-0.2238,413.0,0.0186132,12.6181
31.4779,67.0,1.33837,-0.59455,172.0,8.02187e-05,13.0153
38.6188,66.0,1.72,-0.2629,563.0,1.33833,21.4357
10.9192,54.0,0.503865,-0.19629,158.0,4.29062e-05,2.92636
36.6339,123.0,1.29033,-0.16425,548.0,0.763073,19.8891
34.9619,55.0,1.84762,-0.4536,332.0,0.0254046,16.4593
38.9909,122.0,1.01245,-0.20375,564.0,0.61225,25.2335
