"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v"
10.0139,138.0,0.13197,-0.070115,382.0,0.00202115
54.2104,149.0,0.7234,-0.30525,404.0,0.434219
40.0777,135.0,0.5463,-0.3047,318.0,0.132795
53.3294,178.0,0.58275,-0.3221,392.0,0.0969717
110.696,227.0,0.9157,-0.39255,648.0,1.15927
70.5017,224.0,0.7093,-0.34135,502.0,0.296541
87.8612,187.0,0.91755,-0.5474,433.0,0.111415
75.0273,195.0,0.7836,-0.33715,507.0,1.04675
78.5519,162.0,1.04045,-0.43095,411.0,0.0923469
25.3094,151.0,0.32675,-0.16155,379.0,0.0239377
16.318,124.0,0.261465,-0.10905,351.0,0.551009
82.9336,184.0,0.9143,-0.5658,364.0,0.053538
41.7794,144.0,0.57605,-0.28155,368.0,0.0194968
49.911,198.0,0.48545,-0.1926,597.0,0.702897
74.1119,233.0,0.58045,-0.2379,686.0,1.31767
18.6513,146.0,0.24869,-0.1237,332.0,0.024574
37.3518,240.0,0.2871,-0.1586,641.0,0.32838
38.0297,160.0,0.47755,-0.24885,398.0,0.0295907
21.1841,156.0,0.264595,-0.0812,536.0,0.36416
29.3088,143.0,0.3828,-0.12465,537.0,1.91242
73.0018,178.0,0.82805,-0.27425,584.0,1.21708
18.8931,197.0,0.183605,-0.0907,502.0,0.27301
49.9567,187.0,0.54315,-0.18335,574.0,1.60482
51.1362,149.0,0.6521,-0.3499,363.0,0.0597032
15.6616,198.0,0.147785,-0.0588,627.0,0.36633
81.1615,225.0,0.7097,-0.30835,593.0,0.300557
19.8393,163.0,0.233325,-0.142,352.0,0.0338305
110.429,149.0,1.60355,-0.5334,447.0,0.669044
59.4279,168.0,0.6499,-0.24835,570.0,0.328412
67.7184,233.0,0.57725,-0.2484,632.0,0.380334
53.1273,131.0,0.7874,-0.25615,489.0,1.2378
18.1244,194.0,0.176715,-0.1096,437.0,0.0132376
38.4644,168.0,0.45365,-0.2266,393.0,0.110973
46.8929,242.0,0.38985,-0.1585,658.0,0.664059
43.8042,266.0,0.2984,-0.14835,688.0,0.709371
79.1745,213.0,0.74675,-0.3346,554.0,0.877101
70.2246,164.0,0.82815,-0.3816,429.0,0.105751
44.5965,204.0,0.389,-0.1627,655.0,0.919678
18.4621,203.0,0.16862,-0.0759,631.0,0.301543
48.7937,215.0,0.4618,-0.18335,584.0,0.447324
49.9965,265.0,0.3246,-0.1508,756.0,1.9508
25.266,226.0,0.21641,-0.1239,490.0,0.0765301
119.01,201.0,1.21935,-0.53405,521.0,0.40903
