PCa,Jup,[TRPN],Gncx,"INaCa,SS",CaMKo,[BSL],aCaMK,bCaMK,"tau,diffCa","Tref,v","TRPN50,v","nTm,v","nTRPN,v","kTRPN,v","rs,v","rw,v","Aeff,v","ku,v","beta1,v","beta0,v","gamma,s,v","gamma,w,v","phi,v","ca50,v","nu,v","mu,v"
0.000140541,1.15474,0.0687281,0.00240595,0.421786,0.0254143,1.23594,0.0417235,0.000514683,0.232427,74.4359,0.323737,1.81086,2.82373,0.0906974,0.304056,0.494707,23.636,0.0172166,-2.08574,3.22082,0.0051054,0.743634,2.38346,1.10589,9.03118,3.88614
0.000122429,1.03194,0.0789613,0.0020775,0.809948,0.0277924,0.587837,0.0411791,0.00061667,0.261662,98.7995,0.321094,1.13446,2.82906,0.0853117,0.1543,0.610015,26.0737,0.0238655,-2.54921,1.24948,0.00971018,0.754012,2.34525,1.13261,6.29972,2.33219
0.000106238,1.19379,0.071221,0.00159599,0.512435,0.0398772,1.199,0.0340199,0.000572017,0.24387,99.9589,0.23333,2.27551,2.59572,0.129011,0.27023,0.511031,29.6867,0.0310783,-3.00387,1.82898,0.00821617,0.698618,3.03865,0.808809,8.19361,1.91518
9.80624e-05,1.23862,0.0723787,0.00201299,0.314658,0.0492239,1.23945,0.0391959,0.000939708,0.289119,115.326,0.433587,1.90568,2.25064,0.13266,0.280586,0.289465,26.5335,0.0121793,-1.87633,2.14184,0.00444535,0.901392,2.97703,0.878732,9.15334,2.78232
9.01241e-05,0.871796,0.0736947,0.00147862,0.298903,0.0302574,1.31085,0.0630636,0.000504728,0.20332,94.0467,0.347013,3.04593,2.82353,0.104711,0.133644,0.602891,34.4494,0.0109982,-1.57775,2.76444,0.00846427,0.603649,2.73368,0.673017,3.78478,2.38438
6.02381e-05,1.18425,0.0962522,0.00161415,0.539095,0.0583751,0.857534,0.0362561,0.000580989,0.195631,170.493,0.217255,2.39205,1.99855,0.0659956,0.128568,0.293434,13.3579,0.0291253,-2.34092,1.53168,0.0109919,0.534944,2.23069,0.718044,10.3277,2.78527
0.000111214,1.27043,0.0660126,0.00183784,0.729112,0.0287142,0.790785,0.0464739,0.000669673,0.130577,111.56,0.499891,1.62226,2.19402,0.0857085,0.165095,0.376897,18.3405,0.0208358,-1.75379,2.14047,0.00615109,0.611824,2.47487,0.996421,9.2977,2.29261
0.000103107,1.44629,0.0733731,0.00188799,0.20787,0.0438309,1.25173,0.0512776,0.000816577,0.131712,109.971,0.367656,2.26525,2.31031,0.0750565,0.324488,0.742142,22.4206,0.0292551,-2.71896,2.37562,0.00808395,0.703097,2.51397,1.13521,8.4014,2.35019
0.000119893,1.36779,0.0855009,0.00359996,0.512959,0.0292202,0.770492,0.0602963,0.000933302,0.149271,136.94,0.194911,2.47747,1.7876,0.130571,0.194357,0.660061,26.6206,0.0174372,-2.71215,1.16723,0.00482984,0.609477,2.61351,0.996893,9.57052,3.25996
7.91076e-05,1.46062,0.0759087,0.00131168,0.685959,0.0348346,1.35799,0.0696409,0.000740065,0.148124,111.68,0.217379,1.82635,2.68986,0.0869789,0.287734,0.572994,30.2244,0.0227549,-1.53361,2.84324,0.00789121,0.402676,2.12855,0.878994,6.74558,4.26026
0.000125482,0.968016,0.0833495,0.00154957,0.353854,0.0449299,0.669928,0.0486811,0.000696463,0.238174,109.791,0.211446,2.10645,1.8564,0.119625,0.256031,0.56252,23.32,0.0247356,-1.88294,1.89284,0.0105158,0.816614,2.0155,1.08745,4.08946,2.56392
0.000111342,1.03895,0.0734978,0.00154266,0.654928,0.0474506,0.968131,0.0465843,0.000943625,0.25365,61.6493,0.341491,2.34137,2.23158,0.104423,0.230662,0.609359,23.4713,0.0162268,-1.68656,3.19382,0.00658687,0.773529,1.37366,1.10585,6.6498,3.86035
0.000121528,1.43899,0.0731015,0.00286262,0.558712,0.0432559,0.955417,0.0307853,0.000520894,0.16373,75.1562,0.415711,1.46422,2.631,0.0896099,0.304385,0.738945,36.0201,0.0108804,-3.04742,3.07039,0.00619027,0.331099,2.96241,0.457471,9.7644,3.81063
7.46437e-05,1.12123,0.0497162,0.0013235,0.484791,0.027517,1.24283,0.0331608,0.000373686,0.149401,98.6314,0.287628,1.73171,2.20354,0.0911682,0.22524,0.622058,21.6085,0.0230977,-2.47632,3.11833,0.00547761,0.345971,2.51362,1.17037,6.38384,3.59227
0.000141333,1.29497,0.0800561,0.00225212,0.347469,0.04404,0.94424,0.0327754,0.000797739,0.124734,87.8282,0.344927,1.64959,2.94157,0.117667,0.335477,0.297547,13.8166,0.0143955,-2.44132,3.23623,0.00947896,0.609625,2.02312,0.8471,6.60793,2.12585
0.000132669,1.41124,0.0884364,0.00282135,0.782312,0.0616986,0.902203,0.0369549,0.000586618,0.124687,102.672,0.211963,2.64029,2.04538,0.127431,0.220007,0.475036,33.5914,0.0181778,-1.30562,1.41821,0.0120049,0.845363,1.20112,1.08032,9.679,3.87365
7.2537e-05,1.47092,0.0544221,0.0016053,0.2574,0.0378951,1.19568,0.0357504,0.000768492,0.26074,119.529,0.40683,1.58241,2.39638,0.110172,0.211902,0.669482,19.4593,0.0209571,-3.22025,1.91327,0.0114806,0.572551,2.3241,0.606356,9.23097,3.39567
4.89931e-05,1.28376,0.0793061,0.000892989,0.642033,0.0357376,1.16722,0.0657481,0.000586794,0.115445,90.6287,0.520317,1.64758,2.09944,0.113979,0.227486,0.515737,14.2693,0.0275989,-3.31662,2.27118,0.00593837,0.742664,2.19287,0.813957,5.61031,3.6389
4.13582e-05,0.728667,0.051065,0.00119994,0.266033,0.0508419,0.787327,0.0544041,0.000810771,0.125487,119.783,0.205134,2.74885,1.68821,0.080206,0.244105,0.562414,22.5026,0.0276386,-1.61983,1.60056,0.00838499,0.89018,2.48627,0.763621,9.90589,2.52759
0.000140074,0.912661,0.103593,0.00162894,0.572657,0.0611653,1.2733,0.0434036,0.000682402,0.252141,142.892,0.374201,2.77662,2.1507,0.134951,0.276359,0.530608,24.6547,0.030402,-2.87209,2.4159,0.01039,0.675888,2.99717,0.955436,5.82591,2.06282
9.09516e-05,1.16373,0.0859757,0.00194654,0.448548,0.0444173,1.3849,0.0615512,0.000679337,0.158408,152.455,0.287011,2.55795,2.6876,0.124808,0.215577,0.273712,27.2672,0.0258265,-2.62373,1.35434,0.00990089,0.651306,2.14206,1.06042,4.78954,3.65246
0.000116097,0.980445,0.104278,0.00122747,0.427096,0.0368467,0.795371,0.0692377,0.000726403,0.285044,79.5067,0.458181,2.40869,2.39743,0.0781774,0.126376,0.316644,22.4387,0.0164737,-3.40654,3.30351,0.00714764,0.730035,3.31044,0.765578,7.25879,3.1426
