"Tpeak,a","TTP,t,a","dT/dtMax,a","dT/dtMax,a","Tdur,a","Trest,a"
120.4,62.0,5.52855,-0.5206,401.0,0.349133
65.4916,96.0,2.5807,-0.4129,370.0,0.0108559
133.744,77.0,5.06295,-0.75275,333.0,0.167175
149.69,98.0,8.6157,-1.07655,571.0,0.598107
102.385,164.0,2.33075,-0.6372,456.0,0.137138
12.8909,120.0,0.22681,-0.07561,343.0,0.00110134
12.8929,84.0,0.38506,-0.108755,237.0,2.75576e-06
121.11,81.0,3.5977,-1.12285,227.0,0.0010229
40.3058,79.0,1.2086,-0.1352,576.0,1.58634
46.2068,79.0,1.4843,-0.23775,330.0,0.0322242
74.2517,180.0,1.7316,-0.4725,511.0,0.0170483
14.5014,68.0,0.514065,-0.1827,181.0,0.000318093
89.8292,73.0,3.40615,-0.8722,220.0,0.00335436
58.9033,70.0,2.0145,-0.5079,232.0,0.0113703
139.846,104.0,5.0723,-0.5607,558.0,0.698353
111.91,77.0,4.09605,-0.5679,360.0,0.422744
109.395,73.0,3.73075,-0.7621,267.0,0.0281861
40.7393,132.0,0.7565,-0.2536,370.0,0.0908894
63.7712,67.0,2.3183,-0.91895,157.0,9.18451e-06
16.649,63.0,0.65594,-0.1959,191.0,0.000709235
37.1291,86.0,0.9944,-0.1996,347.0,0.127739
87.9719,49.0,5.0851,-0.4525,271.0,0.0410464
49.2919,64.0,2.064,-0.36615,213.0,0.000173704
73.684,74.0,3.09445,-0.50575,276.0,0.00869056
113.176,64.0,6.292,-0.7323,360.0,0.0272081
